 1, 1,0,, 2,今から操作説明を始めます。\n初めに基本的な動作から試しましょう。
 0,,1, 105, 2,初めに視点を動かしてみましょう。\n右スティックを動かすことで視点を自由に動かせます。\n自由に動かしてみてください。
 1, 3,0,, 2,OK！\n視点操作は完璧です。
 1, 4,1, 106, 2,もし、カメラの動きが早い・遅いと感じた場合はオプションから感度を調整してください。
 0,,1, 107, 2,それでは、次に移動をしてみましょう。\n左スティックを動かすことで移動できます。\n自由に動いてみてください。
 1, 6,0,, 2,OK！\n次はダッシュをしてみましょう。
 0,,1, 108, 2,移動をしながらXボタンを押すとダッシュすることが出来ます。\n自由に動いてみてください。
 1, 8,0,, 2,OK！\n次はジャンプをしてみましょう。
 0,,1, 109, 2,Aボタンを押すことでジャンプすることが出来ます。\n実際にやってみてください。
 1, 10,0,, 2,OK！\nこれで基本的な動作は完了です。\n次はTHE GATEならではの動作を試しましょう。
 1, 11,1, 110, 2,LT、RTを押すことによってゲートをセット可能な弾を撃つことが出来ます。
 1, 12,1, 111, 2,ゲートをセットすることが出来る場所は白色の壁・床・天井にのみ\nセットすることが出来ます。それ以外の場所にはセットすることが\n出来ません。\n※一部白色でも設置不可な場所があります。
 1, 13,1, 112, 2,また、ゲートはステージによって使用できる数が変わってきます。\n真ん中のサイト周りの色が１色なら１種類のゲートを、２色なら\n２種類のゲートを使うことが出来ます。
 0,,1, 110, 2,このチュートリアルでは２種類のゲートを使うことが出来るので\n実際に撃ってみましょう。
 1, 15,0,, 2,OK！\nそれでは実際にゲートをくぐって上の場所まで\n登ってみましょう。
 0,,0,, 2,一つを正面の壁に、もう一つを上にある壁に撃って矢印の場所まで\n移動してください。
 1, 17,0,, 2,OK！\nゲートの基本的な使用方法は完璧です。
 0,,0,, 2,奥の部屋に移動して次のチュートリアルへ移りましょう。
 1, 19,0,, 2,続いて【ギミック：ボタン】のチュートリアルを開始します。
 0,,0,, 2,初めにボタンの上に乗ってみましょう。\n正面にある矢印のある場所まで移動してください。
 1, 21,1, 116, 2,ボタンは乗っている間対応するギミックが動作し続けます。
 1, 22,1, 117, 2,プレイヤーが乗っていなくても、オブジェクトを置くことによって\n対応することが出来ます。\nボタンを見つけた際には近くに丸いオブジェクトが無いか\n探してください。
 0,,0,, 2,今回は部屋の右側に丸いオブジェクトがあるので移動してみてください。
 1, 24,1, 118, 2,オブジェクトは一定距離以内に近づくと持てるようになります。\n持てるかどうかの判断は画面左下のUIが濃くなっているかで判断できます。
 1, 25,1, 119, 2,オブジェクトはBボタンを押すことで持つことが出来ます。\nまた、もう一度Bボタンを押すことによって離すことが出来ます。
 0,,1, 119, 2,オブジェクトはプレイヤーと同じくゲートによりワープすることも\n可能です。\nそれでは、実際にオブジェクトをボタンの上に置いて次の部屋まで\n移動してみましょう。
 1, 27,0,, 2,OK！\n【ギミック：ボタン】は完璧です。
 1, 28,0,, 2,続いて【ギミック：エネルギー弾】のチュートリアルを開始します。
 1, 29,1, 120, 2,エネルギー弾は【弾・発射台・起動装置】に分かれています。\n発射台から出てくるエネルギー弾を起動装置まで運ぶことが出来たら完了です。
 1, 30,1, 120, 2,エネルギー弾はプレイヤーと同じくワープすることが可能です。\nゲートを繋ぎ、起動装置まで運びましょう。\n※エネルギー弾には反射回数が決まっています。注意しましょう。
 0,,0,, 2,それでは、実際に起動装置まで運び、\n次の部屋まで移動してみましょう。
 1, 32,0,, 2,OK！\n【ギミック：エネルギー弾】は完璧です。
 1, 33,0,, 2,最後にゲートを使った応用テクニックを解説します。
 1, 34,1, 113, 2,画像の用にジャンプを使っても届かずゲートをセット可能な場所が\nないという場面に遭遇する機会があります。
 1, 35,1, 114, 2,その際にはゲートのワープによる加速を使いましょう。\nゲートを通る際の落下速度は保存されゲート正面方向に\n吹っ飛ぶことが可能です。それによりジャンプでも届かい場所まで\n渡ることが可能になります。
 0,,1, 115, 2,実際に画像と同じような場所に設置をしてみて、向かいの場所まで\n渡ってみましょう。
 1, 37,0,, 2,PERFECT！\nこれでチュートリアルは完了です。
 0,,0,, 2,それではステージの攻略を頑張ってください。\nあなたの挑戦を私は待っています。
